Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress
13400,-3183.9,90.8614,-3274.76,708.306,0
13500,-3182.39,87.2838,-3269.68,701.347,0
13600,-3181.39,81.3745,-3262.77,708.896,0
13700,-3179.89,99.7725,-3279.66,731.838,0
13800,-3178.89,89.549,-3268.44,734.917,0
13900,-3177.39,98.3422,-3275.74,741.755,0
14000,-3176.39,100.297,-3276.69,750.687,0
14100,-3174.89,91.4619,-3266.35,761.093,0
14200,-3173.9,89.4521,-3263.35,763.005,0
14300,-3172.39,102.382,-3274.78,767.194,0
14400,-3171.39,91.8411,-3263.24,788.118,0
14500,-3169.89,95.7332,-3265.63,765.67,0
14600,-3168.89,71.2107,-3240.1,758.692,0
14700,-3167.39,91.3011,-3258.69,753.426,0
14800,-3166.39,95.7528,-3262.14,752.317,0
14900,-3164.89,74.8579,-3239.75,755.452,0
15000,-3163.89,98.1685,-3262.06,763.26,0
15100,-3162.39,79.5429,-3241.93,749.592,0
15200,-3161.39,94.6075,-3256,762.226,0
15300,-3159.89,91.7485,-3251.64,763.93,0
15400,-3158.89,83.8898,-3242.78,754.515,0
15500,-3157.39,100.555,-3257.94,755.708,0
15600,-3156.39,89.5024,-3245.89,771.366,0
15700,-3154.89,97.9339,-3252.83,770.833,0
15800,-3153.89,99.1691,-3253.06,793.294,0
15900,-3152.39,104.616,-3257.01,803.141,0
16000,-3151.39,96.9744,-3248.37,811.399,0
16100,-3149.89,103.016,-3252.91,811.608,0
16200,-3148.89,96.6112,-3245.5,817.788,0
16300,-3147.39,96.594,-3243.98,817.489,0
16400,-3146.39,99.8762,-3246.26,819.889,0
16500,-3144.89,96.9447,-3241.83,817.925,0
16600,-3143.89,92.9952,-3236.88,809.784,0
16700,-3142.39,94.1081,-3236.5,807.873,0
16800,-3141.39,101.061,-3242.45,812.4,0
16900,-3139.89,101.53,-3241.42,814.894,0
17000,-3138.89,105.509,-3244.4,828.917,0
17100,-3137.39,104.621,-3242.01,837.854,0
17200,-3136.39,103.274,-3239.66,847.626,0
17300,-3134.89,107.797,-3242.69,855.432,0
17400,-3133.89,103.467,-3237.36,860.316,0
17500,-3132.39,103.79,-3236.18,868.586,0
17600,-3131.39,103.511,-3234.9,871.541,0
17700,-3129.89,103.143,-3233.03,864.816,0
17800,-3128.89,103.645,-3232.53,865.035,0
17900,-3127.39,103.458,-3230.85,864.379,0
18000,-3126.39,100.23,-3226.62,863.208,0
18100,-3124.89,105.956,-3230.84,863.749,0
18200,-3123.89,107.459,-3231.35,874.188,0
18300,-3122.39,111.21,-3233.6,882.833,0
18400,-3121.39,106.318,-3227.71,891.611,0
18500,-3119.89,100.449,-3220.34,888.007,0
18600,-3118.89,111.017,-3229.9,889.509,0
18700,-3117.39,108.715,-3226.1,894.949,0
18800,-3116.39,104.426,-3220.81,893.975,0
18900,-3114.89,108.053,-3222.94,893.797,0
19000,-3113.89,105.789,-3219.68,898.352,0
19100,-3112.39,108.499,-3220.89,895.349,0
19200,-3111.39,110.064,-3221.45,900.036,0
19300,-3109.89,109.963,-3219.85,900.017,0
19400,-3108.89,108.227,-3217.11,902.727,0
19500,-3107.39,108.317,-3215.7,904.887,0
19600,-3106.39,105.089,-3211.48,905.187,0
19700,-3104.89,109.27,-3214.16,905.916,0
19800,-3103.89,107.852,-3211.74,908.624,0
19900,-3102.39,108.133,-3210.52,908.542,0
20000,-3101.38,110.94,-3212.32,909.201,0
20100,-3099.88,107.361,-3207.25,909.009,0
20200,-3098.88,106.926,-3205.81,908.209,0
20300,-3097.38,109.76,-3207.14,909.399,0
20400,-3096.38,108.188,-3204.57,909.458,0
20500,-3094.88,108.818,-3203.7,911.84,0
20600,-3093.88,111.332,-3205.22,913.602,0
20700,-3092.38,110.77,-3203.15,916.257,0
20800,-3091.38,115.593,-3206.98,921.886,0
20900,-3089.88,111.794,-3201.68,925.984,0
21000,-3088.88,114.285,-3203.17,931.803,0
21100,-3087.38,117.13,-3204.51,939.563,0
21200,-3086.38,114.263,-3200.65,947.753,0
21300,-3084.88,114.486,-3199.37,951.393,0
21400,-3083.88,116.879,-3200.76,955.592,0
21500,-3082.38,112.408,-3194.79,958.719,0
21600,-3081.38,115.159,-3196.54,954.9,0
21700,-3079.88,116.63,-3196.51,955.596,0
21800,-3078.88,115.164,-3194.05,959.422,0
21900,-3077.38,114.006,-3191.39,957.567,0
22000,-3076.38,117.549,-3193.93,961.309,0
22100,-3074.88,114.743,-3189.63,961.839,0
22200,-3073.88,116.645,-3190.53,964.37,0
22300,-3072.38,118.069,-3190.45,964.656,0
22400,-3071.38,114.787,-3186.17,968.255,0
22500,-3069.88,114.737,-3184.62,967.546,0
22600,-3068.88,119.544,-3188.43,973.599,0
22700,-3067.38,117.214,-3184.6,976.958,0
22800,-3066.38,114.867,-3181.25,976.152,0
22900,-3064.88,113.459,-3178.34,972.368,0
23000,-3063.88,114.473,-3178.35,971.176,0
23100,-3062.38,118.127,-3180.51,970.265,0
23200,-3061.38,115.195,-3176.58,969.331,0
23300,-3059.88,115.186,-3175.07,965.549,0
23400,-3058.88,112.311,-3171.19,962.723,0
23500,-3057.38,116.292,-3173.67,962.247,0
23600,-3056.38,114.21,-3170.59,962.9,0
23700,-3054.88,115.12,-3170,960.999,0
23800,-3053.88,123.511,-3177.39,969.978,0
23900,-3052.38,117.975,-3170.36,978.754,0
24000,-3051.38,121.709,-3173.09,986.136,0
24100,-3049.88,115.933,-3165.81,985.675,0
24200,-3048.88,118.882,-3167.76,987.557,0
24300,-3047.38,119.24,-3166.62,988.988,0
24400,-3046.38,113.527,-3159.9,986.053,0
24500,-3044.88,116.847,-3161.73,983.596,0
24600,-3043.88,113.774,-3157.65,979.351,0
24700,-3042.38,112.763,-3155.14,976.506,0
24800,-3041.38,120.348,-3161.73,977.973,0
24900,-3039.88,118.402,-3158.28,980.837,0
25000,-3038.88,122.202,-3161.08,986.242,0
25100,-3037.38,122.811,-3160.19,993.938,0
25200,-3036.38,125.208,-3161.59,1002.93,0
25300,-3034.88,125.566,-3160.45,1011.11,0
25400,-3033.88,124.327,-3158.21,1020.05,0
25500,-3032.38,126.9,-3159.28,1031.32,0
25600,-3031.38,125.847,-3157.23,1038.01,0
25700,-3029.88,123.328,-3153.21,1037.93,0
25800,-3028.88,124.932,-3153.81,1039.58,0
25900,-3027.38,124.718,-3152.1,1041.1,0
26000,-3026.38,122.534,-3148.91,1038.41,0
26100,-3024.88,123.749,-3148.63,1039.03,0
26200,-3023.88,126.033,-3149.91,1043.29,0
26300,-3022.38,128.377,-3150.75,1045.62,0
26400,-3021.38,125.754,-3147.13,1052.53,0
26500,-3019.88,128.747,-3148.62,1052.68,0
26600,-3018.88,129.759,-3148.64,1061.46,0
26700,-3017.38,125.336,-3142.71,1055.85,0
26800,-3016.38,130.202,-3146.58,1061.21,0
26900,-3014.88,130.332,-3145.21,1067.69,0
27000,-3013.88,129.053,-3142.93,1072.12,0
27100,-3012.38,129.184,-3141.56,1074.04,0
27200,-3011.38,122.922,-3134.3,1069.94,0
27300,-3009.87,129.186,-3139.06,1067.33,0
27400,-3008.87,127.342,-3136.22,1070.14,0
27500,-3007.38,127.01,-3134.39,1071.53,0
27600,-3006.38,129.485,-3135.86,1071.29,0
27700,-3004.88,134.309,-3139.18,1079.14,0
27800,-3003.88,136.783,-3140.66,1091.8,0
27900,-3002.38,133.819,-3136.19,1103.66,0
28000,-3001.38,133.943,-3135.32,1112.75,0
28100,-2999.88,131.9,-3131.78,1115.68,0
28200,-2998.87,130.401,-3129.28,1109.69,0
28300,-2997.37,136.08,-3133.45,1112.14,0
28400,-2996.37,137.645,-3134.02,1118.71,0
28500,-2994.87,137.033,-3131.91,1124.19,0
28600,-2993.87,134.813,-3128.69,1127.83,0
28700,-2992.37,134.767,-3127.14,1131.48,0
28800,-2991.37,136.538,-3127.91,1136.29,0
28900,-2989.87,134.819,-3124.69,1140.71,0
29000,-2988.87,142.849,-3131.72,1147.09,0
29100,-2987.37,143.941,-3131.32,1153.4,0
29200,-2986.37,139.474,-3125.85,1160.27,0
29300,-2984.87,141.477,-3126.35,1163.11,0
29400,-2983.87,140.188,-3124.06,1168.48,0
29500,-2982.37,144.455,-3126.83,1175.73,0
29600,-2981.37,140.898,-3122.27,1178.31,0
29700,-2979.87,139.11,-3118.98,1177.29,0
29800,-2978.87,146.481,-3125.35,1181.05,0
29900,-2977.37,139.918,-3117.29,1181.64,0
30000,-2976.37,138.589,-3114.96,1175.68,0
30100,-2974.87,142.39,-3117.26,1180.09,0
30200,-2973.87,138.02,-3111.89,1179.63,0
30300,-2972.37,140.959,-3113.33,1181.14,0
30400,-2971.37,145.192,-3116.56,1182.84,0
30500,-2969.87,141.32,-3111.19,1183.52,0
30600,-2968.87,147.654,-3116.53,1198.88,0
30700,-2967.37,151.531,-3118.9,1207.73,0
30800,-2966.37,146.898,-3113.27,1217.11,0
30900,-2964.87,150.414,-3115.29,1228.67,0
31000,-2963.87,149.445,-3113.32,1235.5,0
31100,-2962.37,148.326,-3110.7,1235.49,0
31200,-2961.37,151.787,-3113.16,1242.66,0
31300,-2959.87,151.448,-3111.32,1251.08,0
31400,-2958.87,153.066,-3111.94,1256.36,0
31500,-2957.37,153.077,-3110.45,1255.41,0
31600,-2956.37,146.965,-3103.34,1256.26,0
31700,-2954.87,152.436,-3107.31,1256.78,0
31800,-2953.87,154.739,-3108.61,1266.12,0
31900,-2952.37,148.496,-3100.87,1269.84,0
32000,-2951.37,152.129,-3103.5,1272.98,0
32100,-2949.87,155.579,-3105.45,1278.05,0
32200,-2948.87,149.534,-3098.4,1276.17,0
32300,-2947.37,156.933,-3104.3,1282.65,0
32400,-2946.37,156.808,-3103.18,1293.6,0
32500,-2944.87,151.932,-3096.8,1296.01,0
32600,-2943.87,150.56,-3094.43,1288.19,0
32700,-2942.37,152.423,-3094.79,1285.21,0
32800,-2941.37,156.422,-3097.79,1285.59,0
32900,-2939.87,154.628,-3094.5,1287.62,0
33000,-2938.87,160.61,-3099.48,1298.76,0
33100,-2937.37,156.864,-3094.23,1301.3,0
33200,-2936.37,154.003,-3090.37,1299.15,0
33300,-2934.87,151.318,-3086.19,1296.59,0
33400,-2933.87,153.594,-3087.46,1293.24,0
